装料方式,样本数,R2,RMSE,筛选特征数,筛选特征,模型方程,变量范围,最佳预测C4收率(%),最佳温度(°C),最佳变量(原始单位),最佳预测C4收率_T<=350(%),最佳温度_T<=350(°C),最佳变量_T<=350
I,74,0.9018020284496662,3.263204255569293,8,"HAP质量(mg), 温度, Co/SiO2质量 乙醇浓度(ml/min), Co负载量(wt%)^2, Co负载量(wt%) 温度, HAP质量(mg) 温度, 乙醇浓度(ml/min) 温度, 温度^2",C4收率 = 5.5764 + 3.5999*HAP质量(mg) + 6.7766*温度 + 1.7217*Co/SiO2质量 乙醇浓度(ml/min) - 0.6329*Co负载量(wt%)^2 - 1.0063*Co负载量(wt%) 温度 + 3.4954*HAP质量(mg) 温度 - 0.4768*乙醇浓度(ml/min) 温度 + 2.4254*温度^2,"Co/SiO2质量=[33.0000, 200.0000]; Co负载量(wt%)=[0.5000, 5.0000]; HAP质量(mg)=[0.0000, 200.0000]; 乙醇浓度(ml/min)=[0.3000, 2.1000]; 温度=[250.0000, 450.0000]",59.749708733104896,450.0,Co/SiO2质量=33.000000; Co负载量(wt%)=0.500000; HAP质量(mg)=200.000000; 乙醇浓度(ml/min)=0.300000; 温度=450.000000,21.951106491655977,349.9999999968928,Co/SiO2质量=33.000000; Co负载量(wt%)=0.926141; HAP质量(mg)=200.000000; 乙醇浓度(ml/min)=0.300000; 温度=350.000000
II,40,0.9369144232752306,1.5573755692436593,11,"Co/SiO2质量, HAP质量(mg), 乙醇浓度(ml/min), 温度, Co/SiO2质量^2, Co/SiO2质量 温度, HAP质量(mg)^2, HAP质量(mg) 温度, 乙醇浓度(ml/min)^2, 乙醇浓度(ml/min) 温度, 温度^2",C4收率 = 2.0732 + 0.5747*Co/SiO2质量 + 0.5747*HAP质量(mg) - 1.0953*乙醇浓度(ml/min) + 3.7537*温度 - 0.5025*Co/SiO2质量^2 + 0.8566*Co/SiO2质量 温度 - 0.5025*HAP质量(mg)^2 + 0.8566*HAP质量(mg) 温度 - 0.0424*乙醇浓度(ml/min)^2 - 0.6459*乙醇浓度(ml/min) 温度 + 2.6319*温度^2,"Co/SiO2质量=[10.0000, 100.0000]; Co负载量(wt%)=[1.0000, 1.0000]; HAP质量(mg)=[10.0000, 100.0000]; 乙醇浓度(ml/min)=[0.9000, 2.1000]; 温度=[250.0000, 400.0000]",23.48394156635669,399.99999999545014,Co/SiO2质量=100.000000; Co负载量(wt%)=1.000000; HAP质量(mg)=100.000000; 乙醇浓度(ml/min)=0.900000; 温度=400.000000,10.14629371427495,349.9999999987547,Co/SiO2质量=94.832968; Co负载量(wt%)=1.000000; HAP质量(mg)=94.832969; 乙醇浓度(ml/min)=0.900000; 温度=350.000000
